ID,First Name,Last Name,Email Address,Landline Number,Mobile Number,Unknown Number,Zip Code
,Eli,Doe,eli@doe.com,,,,
,Josh,Corman,corman30@yahoo.com,,,,
,d ,d ,ddd888@gmail.com,,(718)7895432,,
,Teresa,Brown,brown5566@gmail.com,,,,
,Joe,Dwight,jjoe@joe.net,4043338888,,,
,Jane,Smith,myfamily@gmail.com,4041234444,,,
,Lizaline,Gome,liza.gome@iiiii.com,,,,
,Aby,Quo,quoiam@gmail.com,,,,
,B,C,beeeeeee@mac.com,4043334444,,,
,T ,Ione,ione@gmail.com,,,,
,Pat,Lula,lula404@fakecollege.edu,,,,
,G,Spin,spin2@gmail.com,12131234567,,,90078
